Longitude (degrees), Latitude (degrees), Moho depth estimate (km)
2.0110305454526,43,32.0716520533533
2.22493458368242,43,28.9003128746947
2.28271622094096,45.8,28.1043226462898
2.42535674975736,45.8,28.1043226462898
2.50141269023712,44.4,28.1137839281332
2.57185940489733,45.1,27.324729968167
2.58554575713009,43.7,28.091684148962
2.74370872456088,44.4,28.1137839281332
2.79259426800565,43.7,28.091684148962
2.89958480066118,45.1,26.5325255911775
3,43.5325569438914,30.7425538198383
3,43.4044532409871,34.0838520309438
3,43.8583515463395,26.3461088052259
3,43.9548247053168,27.9288290104864
3,44.1999614207511,29.1598336145779
3,44.3106683244956,28.8081180134089
3,45.1378070481865,26.6978244063949
3,45.2817260230544,27.4012556087329
3,45.4161558347441,27.0495400075639
3,43.1116049564937,27.6010080426337
3,44.0797653538285,28.8081180134089
3,44.6854902700305,27.2253978081484
3,44.8657843704144,33.0287052274368
3,45.6470588054112,30.0391226175004
3,45.7435319643885,29.8632648169159
3,45.9760164622519,25.2909620017189
3,46.3191588471292,36.0734346408802
3,46.8591588471292,32.0734346408802
3.0173149443454,45.8,29.6904129601178
3.03063979434808,43,24.1433041067067
3.03588923653954,44.4,28.9061983329242
3.07817842093747,43.7,30.4733473191696
3.18848357892508,45.8,27.3112774893758
3.20593680104912,45.1,26.5325255911775
3.2995643327154,44.4,27.321369523342
3.31480102422217,46.5,35.2354081309433
3.35662297004598,43.7,32.0611227659747
3.41967075480815,45.1,26.5325255911775
3.48802868943951,45.8,25.7251871755478
3.57903654958119,46.5,34.4413094861006
3.59887119864475,44.4,28.9061983329242
3.65919732401919,45.8,24.9321420186337
3.66190256906838,45.1,28.1169343451566
3.67790514209427,43.7,33.6488982127797
3.8043918715744,47.2,31.2857518531148
3.83404087901781,44.4,27.321369523342
3.87897957836711,46.5,30.4708162618867
3.93975670895512,45.1,26.5325255911775
4,43.5381412022909,24.8994526546225
4,44.5174380597146,30.0497897868609
4,45.6452398196074,19.7459229402732
4,45.8360285214213,24.4203562307236
4,45.9475914063803,27.4767164590951
4,47.5549343840854,32.6366329804841
4,47.656388538511,31.8449707166845
4,47.0832615608784,30.0637306231354
4,47.8832615608784,30.9210528235623
4,43.6625383706664,25.1937576336075
4,44.0436701205826,26.3741621922936
4,44.172037411353,29.9026372973683
4,44.3070215727816,29.0197223604132
4,44.8788513055411,30.35329079168
4,45.0243681120094,28.1958600422413
4,45.2086894002025,26.9373587717354
4,45.3525893532656,27.4767164590951
4,45.4851713324923,28.0160741464547
4,46.0785565322018,28.0160741464547
4,46.1885025637556,28.3756459380278
4,46.3349844960453,30.4915779579724
4,46.5249305275991,30.8926484790396
4,46.9248506881788,28.0845749636363
4,47.2007347923187,31.4491395847847
4.02060612561244,43.7,25.7100209787544
4.022930672501,45.8,27.3112774893758
4.09771597519367,44.4,28.1137839281332
4.11464910098461,46.5,28.0885203273583
4.16061512783945,45.1,26.5325255911775
4.23689146572559,45.8,27.3112774893758
4.29191107089766,43.7,24.9161332553519
4.32447782572137,47.2,30.4935474761253
4.36981091984339,47.9,33.6590036481071
4.39316762771439,46.5,25.70622439283
4.39702284112303,44.4,30.4910271425065
4.45271819797679,45.1,28.1169343451566
4.47224833827265,45.8,28.8973678032038
4.52751799706641,43.7,25.7100209787544
4.59078647695786,47.9,32.8663791041205
4.60639954264109,43,28.10747808003
4.66454465375879,46.5,25.70622439283
4.66782429124958,44.4,27.321369523342
4.68620913149724,45.8,28.8973678032038
4.68782554711172,45.1,28.9091387221462
4.70207447736232,47.2,26.5325255911775
4.77740413088174,43.7,25.7100209787544
4.80604331165559,43,27.3146432853654
4.8645066729494,46.5,27.2944216825155
4.90016992472183,45.8,32.0695484308599
4.95432690963007,47.9,31.2811300161473
5,43.4535567057991,28.5577610563898
5,44.0389068622501,26.5577610563898
5,44.2454289689458,27.6101836291854
5,44.3668641705789,28.7810533803815
5,44.6836284674674,30.8947182830499
5,44.8737476643024,30.8947182830499
5,46.1773323254965,30.6616764811585
5,46.3764328766435,27.8651748584618
5,46.6405030813227,25.3017150376564
5,46.9003816954514,29.2634256698101
5,47.1928877306278,28.2216074008372
5,47.6164625617808,29.0978747920658
5,47.9297109252846,32.8220112047873
5,48.0676190098461,31.5076101179444
5,47.4036900884574,27.1262731618014
5,43.8940798269751,25.097574375597
5,45.2006917272385,31.3608018868327
5,45.341110010679,30.1955928773757
5,45.4878156799453,27.399091254679
5,45.5884138531564,27.399091254679
5,45.9109864357715,32.5260108962897
5,48.3235111444107,31.1956281396987
5,48.4839464806177,32.6822610930934
5,48.632683406893,33.8680902122677
5.02267540800087,45.1,31.2857518531148
5.03126834273523,44.4,25.7365407137598
5.07133855930151,48.6,34.4486839016019
5.07254666387798,47.2,27.324729968167
5.08440709528344,43.7,25.7100209787544
5.11413071794643,45.8,33.6556387446879
5.21444020653297,46.5,25.70622439283
5.2409815227229,43,27.3146432853654
5.26084139207918,47.9,31.2811300161473
5.2649072222611,45.1,32.0779562301044
5.27356437705899,44.4,29.6986127377154
5.40011922435283,46.5,25.70622439283
5.42876992014302,47.2,29.7013430991357
5.44062529173739,43,25.7289736960361
5.58550815289964,45.1,32.870160607094
5.59425030484044,44.4,32.8682703568799
5.6172535809735,47.9,28.9032563841874
5.64026906075189,43,24.9361389013714
5.66387726927795,47.2,28.9091387221462
5.72697143938001,43.7,24.9161332553519
5.83575076616094,46.5,25.70622439283
5.84872944135087,45.8,31.2765032739458
5.91493623262189,44.4,33.660684761671
5.92376806342262,47.9,29.6958809281741
5.93260457966598,43,23.3504693120421
5.94885587428999,47.2,28.1169343451566
5.98399717701864,43.7,30.4733473191696
6,47.3639311659128,29.5589548415718
6,48.8440789363557,36.7821175958198
6,43.4583861716533,26.7386761564558
6,43.6340437071252,26.2441894027504
6,43.7496663887017,22.7827821268128
6,44.7035535117073,44.5071198120815
6,44.8369642981417,46.1826909871041
6,44.9748221107905,46.2157704648718
6,45.0882212792597,44.787442666702
6,45.2349731443375,39.5953317527955
6,45.3639369045574,37.8646281148267
6,45.5440414662438,30.6945701860988
6,45.6463230691768,29.705596678688
6,45.7809885072072,29.2572140575765
6,45.9296507049638,28.6294742281705
6,46.2740200997669,28.0017343987645
6,43.1804470332484,24.4914327796031
6,43.3071872803611,26.2441894027504
6,44.5835535117073,42.5071198120815
6,48.4334423291952,30.5908352350358
6,48.3197632684559,29.3009847432058
6,48.2084041885479,27.2372239562777
6,48.09704510864,26.9792538579117
6,47.9764061054064,26.4633136611797
6,47.8812868913184,26.7212837595457
6,47.5959292490543,28.2691043497418
6,47.4752902458207,28.5270744481078
6,47.2618520093305,29.8169249399378
6,47.1829726610624,29.8169249399378
6,47.1110532552885,29.3009847432058
6,43.8541715047419,22.5355387499601
6,43.9675706732111,22.7827821268128
6,44.3166622310477,34.1559774620364
6,44.4367319388386,36.6504642157418
6,46.7896332919858,27.5832411791605
6,46.6560254940021,26.7462547399525
6,46.514890496132,27.1647479595565
6,46.3756372982334,27.7924877889625
6,46.0756372982334,26.7924877889625
6.09998629151997,46.5,28.8826189722011
6.13409196754782,45.1,39.2077956230104
6.17683875829962,47.2,28.1169343451566
6.1946413269823,47.9,28.1106318402008
6.21424309855124,44.4,38.4151711904178
6.23207023318773,43,25.7289736960361
6.26951900135924,48.6,36.8278193723439
6.29100014142034,43.7,30.4733473191696
6.37632378180805,45.1,41.5844087539791
6.40707082099126,46.5,30.4708162618867
6.46551459054198,47.9,28.1106318402008
6.49588521367118,43,24.9361389013714
6.4992972565792,44.4,43.1696576191645
6.56155987506588,47.2,28.1169343451566
6.56193208543285,48.6,36.0347742154299
6.67223366010069,47.9,27.3180072962142
6.7040491775719,45.1,42.3766131309687
6.72843835183331,46.5,29.6767176170439
6.76162882577581,45.8,41.586090313828
6.77009870670575,44.4,48.1317296431201
6.82516508470201,47.2,24.9481168371984
6.832949090184,48.6,32.8625935877739
6.96251026337463,44.4,54.2634592862402
6.97477885233333,45.1,44.7532262619374
6.99981537787771,46.5,29.6767176170439
7,48.9793067272658,30.4428340540257
7,48.8167246445208,27.8185642978808
7,48.3840465210864,20.528926086367
7,47.9382569393662,23.4447813709725
7,47.8097646481644,22.8616103140515
7,47.6812723569627,23.7363668994331
7,47.5947367322758,24.3195379563542
7,47.3508636081583,25.4858800701964
7,47.1935261087276,27.8185642978808
7,47.1358356922697,28.6933208832624
7,46.3543927784306,28.984906411723
7,45.8415861598471,40.8388423676475
7,45.6943200266905,44.3658186173425
7,45.3544751040212,45.6254529922336
7,45.2094746036823,46.3812336171683
7,45.0893960643392,49.1524292419287
7,44.8628327825597,54.4428936164713
7,48.1821300634837,21.4036826717487
7,48.599074436975,22.2784392571303
7,46.9758759011818,29.2764919401835
7,46.8054269434653,29.8596629971046
7,46.6821792355779,29.8596629971046
7,46.2267437388723,36.8003048680831
7,46.0930714026224,39.8234273678217
7,45.9548678007369,40.5869154926692
7,44.353768249933,42.602330492495
7,44.1378302808653,33.5329629932791
7,43.9845486399756,31.7848898682573
7,43.843298014552,26.7309373688672
7,43.693298014552,23.7309373688672
7,43.4807967637047,16.6538623697384
7,44.5818943131531,54.6948204914495
7,45.4918943131531,44.2504504914495
7.00411772476368,45.8,41.586090313828
7.05404190984942,48.6,32.0695484308599
7.06428706788444,50,32.0737545601339
7.16001494559116,47.2,21.7792993292401
7.18342723584629,44.4,56.6407025006136
7.25373865019237,48.6,27.3112774893758
7.25975745734537,45.1,48.7142481468852
7.37117341351742,46.5,29.6767176170439
7.44761596079418,43.7,24.9161332553519
7.45343539053533,45.8,43.172180627656
7.47483146985779,48.6,24.1390968617197
7.4806158762297,45.1,54.259678785812
7.63022964386102,47.2,23.3637080832192
7.64167481389324,47.9,25.732758208241
7.66397494161796,46.5,31.2649149067294
7.69434982998873,45.1,59.0129050477494
7.77437658037222,48.6,23.3460517048057
7.77603773666576,43.7,20.9466946383392
7.79577265969468,45.8,49.5165418829681
7.88893627696548,49.3,24.1517119041775
7.90095931862246,47.2,24.1559124602088
7.9268045650087,47.9,25.732758208241
7.97820097177463,46.5,30.4708162618867
8,48.7086108269718,26.4195269874109
8,46.8662828547,32.0446633130068
8,46.3829286053156,42.3876401411981
8,45.8981113390635,52.5744320611347
8,45.7751829257562,53.6395501832316
8,45.5448243454226,61.1849992459303
8,43.8248243454226,20.1849992459303
8,43.9748243454226,21.5384258859303
8,44.1662828547,25.0446633130068
8,49.0279054069909,20.9806259384059
8,48.9096984773668,22.7935929547409
8,48.7982850494452,24.0022376322976
8,48.548284186792,28.8368163425243
8,48.440946859892,28.9878969272189
8,48.3281747316299,23.5489958782138
8,48.2113265023463,24.1533182169922
8,47.8545844986303,23.3639506179178
8,47.7333306834927,23.5486466327069
8,47.5705515891982,23.9180386622851
8,47.4044504725713,24.4721267066525
8,47.168586886961,28.9048310615916
8,46.97757060284,30.7517912094829
8,46.6686225259139,34.2610154904764
8,46.4859112976243,36.2926716531568
8,46.2633358013442,46.4509524665589
8,46.1520480532041,50.6989608067089
8,46.040760305064,50.6989608067089
8.02399750580091,48.6,22.5530065478917
8.09531777020911,45.8,49.5165418829681
8.10445951253734,43.7,19.3589191915342
8.16203660967895,47.9,20.9770109443214
8.23580917951161,47.2,23.3637080832192
8.24243649713366,46.5,33.6472108412578
8.36148525017597,43.7,22.5344700851443
8.37588392301554,47.9,20.9770109443214
8.38301216679342,50,20.1843864003347
8.46618314513174,45.8,48.7234967260541
8.51610733021748,48.6,22.5530065478917
8.54237952591957,46.5,35.2354081309433
8.61340583115256,47.2,24.1559124602088
8.62295073388747,44.4,24.1517119041775
8.66814191790888,47.9,20.9770109443214
8.70134062734515,49.3,18.6048110706396
8.80138838785027,48.6,22.5530065478917
8.85812041426053,44.4,23.3592974993864
8.92976486378503,45.8,51.8956773537101
8.93516206361541,46.5,33.6472108412578
8.955380157167,47.2,26.5325255911775
8.96039991280222,47.9,22.5622600322946
9,49.0047474089821,24.9912922885937
9,48.2551603339765,25.9604815888142
9,49.6737102927808,24.2644003134284
9,46.6961187123696,40.3613273071658
9,46.5169159676536,49.5710246426765
9,46.3934317233956,52.2502093220978
9,46.2774770062264,53.5898016618084
9,45.8700998932077,52.824197121768
9,45.7658170217552,51.2617716969171
9,45.5178992518869,45.3545149324051
9,43.4085466439443,35.2473793472699
9,49.7848409347147,25.4450762389244
9,49.5342522323146,21.8414270628772
9,49.2204715962657,24.2644003134284
9,48.7781280607246,22.3260217129875
9,48.3946183944427,24.9912922885937
9,48.1287764666791,26.2027789138693
9,47.8716506676946,24.2644003134284
9,47.7518038969815,26.2027789138693
9,47.625420029684,28.1411575143102
9,47.4794248726335,28.8680494894755
9,47.3203555224143,29.1103468145306
9,49.3621086889267,23.0529136881528
9,47.1870438785663,31.4865280565828
9,47.0725950668149,34.3331617784679
9,46.9581462550635,35.0029579483233
9,46.8090616187032,35.3378560332509
9,46.6072702927205,46.7243909207914
9.0505319709294,49.3,21.7744686898042
9.07953741904224,48.6,21.7599613909777
9.18511458760368,46.5,33.6472108412578
9.19563195747247,47.9,28.1106318402008
9.23581717364757,44.4,24.9441263089686
9.27598108780555,47.2,28.1169343451566
9.32133342105596,49.3,24.9441263089686
9.41397602241504,44.4,24.9441263089686
9.43506711159194,46.5,33.6472108412578
9.45937697725427,47.9,26.5253827522276
9.50745900549143,48.6,22.5530065478917
9.50745900549143,45.8,46.3443612553121
9.59658201844409,45.1,33.6623649840835
9.6749511348224,47.2,30.4935474761253
9.67787813489483,46.5,44.7645918690567
9.70886550948029,47.9,26.5253827522276
9.74281587803849,48.6,20.1738710771497
9.74656839189525,43.7,27.2977964255595
9.81744043732842,45.1,33.6623649840835
9.84266424820996,45.8,47.9304515691401
9.87718902921047,44.4,22.5668830945953
9.92271282281688,47.9,26.5253827522276
9.96353816230999,46.5,49.5291837381134
9.97817275058554,48.6,20.9669162340637
10,50.8391782487267,25.7866102380572
10,50.7280778111994,26.0333294453116
10,46.7714210379356,50.4073108206155
10,46.8721527341479,46.8870425554088
10,46.9930307696027,43.3667742902022
10,47.1225429504472,42.406701126964
10,47.2837136643869,36.966286535281
10,47.4304941360106,35.3661645965507
10,47.9485428593883,29.2857012293756
10,48.0722989433063,27.6855792906453
10,48.2795184326574,26.405481739661
10,48.4205428073546,26.085457351915
10,48.6220061997793,25.1253841886768
10,48.7802988652558,24.4853354131847
10,48.9558598215116,22.8852134744544
10,49.3069817340231,22.5651890867083
10,49.7386890035045,26.085457351915
10,49.8797133782018,26.085457351915
10,46.0914590162736,42.0465843693769
10,45.9766865858794,40.1417915367654
10,45.7385766183452,34.8083716054532
10,45.6460734654902,35.1893301719755
10,45.5535703126352,35.1893301719755
10,46.6793234871129,52.3274571470919
10,47.6089331407295,33.1259938823283
10,47.7614697092796,31.2058475558519
10,49.154445165473,23.2052378622004
10,46.3878117096794,47.046649317861
10,46.2387788523019,44.1418564852495
10,45.8602011341361,38.0465194208928
10,43.8936922923504,25.1745212168997
10,44.0402993043816,27.4764092900179
10,44.1828338994119,27.0235771803406
10.0321525448271,43.7,25.7100209787544
10.0708890943162,45.8,47.1374064122261
10.0739211818393,47.2,32.870160607094
10.1237924377164,45.1,36.8311824920418
10.1907486030412,49.3,25.7365407137598
10.284905693152,46.5,43.9704932242139
10.3133779933041,45.8,43.172180627656
10.3361509619343,47.9,26.5253827522276
10.3391555092288,43.7,24.9161332553519
10.3660242519766,47.2,36.0389781150522
10.4301444381043,45.1,36.8311824920418
10.4988106807654,48.6,21.7599613909777
10.5256872387241,49.3,28.1137839281332
10.5642547628267,47.9,28.1106318402008
10.6082560662368,47.2,34.4545693610731
10.6212807130498,50,28.9032563841874
10.6557152624634,45.8,47.9304515691401
10.7293719733669,45.1,36.8311824920418
10.7840917383982,48.6,23.3460517048057
10.8208715388306,47.9,26.5253827522276
10.8208715388306,50,28.1106318402008
10.8463731665055,49.3,29.6986127377154
10.9267322672146,45.8,47.9304515691401
10.9359814620007,47.2,33.6623649840835
11,47.579479371953,38.3375238029042
11,47.7367636778997,33.4405430815229
11,48.0282639249207,32.0414057325568
11,48.1855482308674,30.8754579417517
11,48.4686599815713,25.5120981040484
11,48.8167825787332,26.9112354530145
11,49.0936029571993,24.8125294295654
11,49.4228514376476,29.4763205927856
11,49.571747247277,30.1758892672687
11,49.6975746920343,30.8754579417517
11,48.9547382116611,26.3442388140482
11,50.4401477820657,30.4225106219066
11,50.5446766036868,29.6068562603349
11,50.647371586332,28.7912018987632
11,43.3408498184661,22.0459021737691
11,43.5006138700385,21.3999039194044
11,43.6981403338007,20.7539056650396
11,43.955666797563,22.2074017373603
11,44.1236936711709,34.9968698795171
11,44.7700118798047,44.4943415129445
11,44.87603711403,45.1403397673092
11,45.2315023749755,40.1949163024971
11,45.3198502644571,40.6987028199384
11,45.5780979414033,50.7744331687649
11,45.6823031443815,51.0263264274855
11,45.7706510338631,51.0263264274855
11,46.3619022942398,47.240354511793
11,46.4479848532219,48.240354511793
11,46.5521900562002,49.0111803577203
11,46.6337419541832,51.0263264274855
11,46.7243551741643,53.2933657559715
11,46.8466830211388,55.5604050844574
11,47.3571842195485,42.5349358498024
11,47.4746231679886,42.0685567334804
11,49.2550815113045,26.9112354530145
11,48.655304024628,26.4448563366925
11,48.3155699237833,28.7767519183026
11,47.8961451079256,32.7409744070398
11,49.8313132420974,31.849905754657
11,50.0000264278718,31.2381649834782
11,50.8087494162031,28.1794611275845
11,45.8793868978404,51.2782196862062
11,45.9790614398197,50.7744331687649
11,46.0742053207998,49.7668601338823
11.0214750435043,45.1,39.2077956230104
11.069372796031,48.6,24.1390968617197
11.1030931183214,43.7,35.2366736595848
11.1345142650576,47.9,28.9032563841874
